Rank,Name,Team,Position,ADP
1,J. Gibbs,DET,RB,1
2,Bijan Robinson,ATL,RB,2
3,J. Chase,CIN,WR,3
4,J. Taylor,IND,RB,5
5,P. Nacua,LAR,WR,7
6,C. McCaffrey,SF,RB,4
7,A. St. Brown,DET,WR,6
8,J. Smith-Njigba,SEA,WR,8
9,S. Barkley,PHI,RB,10
10,J. Cook III,BUF,RB,9
11,C. Lamb,DAL,WR,11
12,J. Jefferson,MIN,WR,12
13,D. Achane,MIA,RB,13
14,D. Henry,BAL,RB,16
15,C. Brown,CIN,RB,17
16,K. Walker II,IKC,RB,18
17,O. Hampton,LAC,RB,15
18,N. Collins,HOU,WR,23
19,A. Jeanty,LV,RB,14
20,D. London,ATL,WR,20
21,A.J. Brown,NE,WR,19
22,J. Allen,BUF,QB,21
23,B. Bowers,LV,TE,22
24,K. Williams,LAR,RB,24
25,G. Pickens,DAL,WR,25
26,T. McBride,ARI,TE,26
27,M. Nabers,NYG,WR,28
28,J. Love,ARI,RB,27
29,J. Williams,DAL,RB,32
30,C. Olave,NO,WR,30
31,D. Smith,PHI,WR,33
32,B. Hall,NYJ,RB,31
33,T. Higgins,CIN,WR,39
34,Z. Flowers,BAL,WR,42
35,R. Rice,KC,WR,29
36,T. Etienne Jr.,NO,RB,40
37,J. Waddle,DEN,WR,46
38,C. Loveland,CHI,TE,43
39,L. Jackson,BAL,QB,34
40,T. McMillan,CAR,WR,36
41,L. McConkey,LAC,WR,38
42,D. Swift,CHI,RB,48
43,C. Skattebo,NYG,RB,37
44,G. Wilson,NYJ,WR,45
45,E. Egbuka,TB,WR,41
46,D. Montgomery,HOU,RB,44
47,B. Irving,TB,RB,47
48,T. Warren,IND,TE,50
49,D. Maye,NE,QB,51
50,T. McLaurin,WAS,WR,53
51,DJ Moore,BUF,WR,52
52,Q. Judkins,CLE,RB,49
53,J. Price,SEA,RB,57
54,J. Burrow,CIN,QB,54
55,B. Tuten,JAC,RB,59
56,L. Burden III,CHI,WR,60
57,D. Adams,LAR,WR,56
58,J. Hurts,PHI,QB,61
59,J. Williams,DET,WR,58
60,R. Odunze,CHI,WR,62
61,J. Daniels,WAS,QB,70
62,T. Kraft,GB,TE,66
63,C. Watson,GB,WR,65
64,T. Henderson,NE,RB,55
65,J. Warren,PIT,RB,67
66,R. Stevenson,NE,RB,73
67,S. LaPorta,DET,TE,64
68,P. Washington,JAC,WR,69
69,M. Evans,SF,WR,63
70,C. Williams,CHI,QB,74
71,M. Harrison Jr.,ARI,WR,72
72,H. Fannin Jr.,CLE,TE,77
73,J. Herbert,LAC,QB,80
74,D. Prescott,DAL,QB,84
75,K. Pitts Sr.,ATL,TE,71
76,J. Brooks,CAR,RB,87
77,C. Tate,TEN,WR,68
78,T. Pollard,TEN,RB,78
79,G. Kittle,SF,TE,85
80,DK Metcalf,PIT,WR,76
81,R. Dowdle,PIT,RB,83
82,B. Thomas Jr.,JAC,WR,75
83,M. Lloyd,GB,RB,136
84,J.K. Dobbins,DEN,RB,86
85,T. Lawrence,JAC,QB,97
86,C. Godwin Jr.,TB,WR,91
87,A. Pierce,IND,WR,95
88,C. Hubbard,CAR,RB,79
89,M. Wilson,ARI,WR,89
90,B. Corum,LAR,RB,92
91,J. Mason,MIN,RB,96
92,J. Croskey-Merritt,WAS,RB,99
93,Q. Johnston,LAC,WR,102
94,D. Kincaid,BUF,TE,90
95,C. Sutton,DEN,WR,81
96,J. Jacobs,GB,RB,35
97,S. Diggs,WAS,WR,110
98,Rams,LAR,DST,98
99,T. Kelce,KC,TE,93
100,J. Downs,IND,WR,113
101,RJ Harvey,DEN,RB,82
102,D. Stribling,SF,WR,117
103,M. Stafford,LAR,QB,106
104,Bo Nix,DEN,QB,119
105,J. Reed,GB,WR,101
106,J. Addison,MIN,WR,100
107,J. Dart,NYG,QB,105
108,B. Purdy,SF,QB,124
109,D. Goedert,PHI,TE,126
110,I. Likely,NYG,TE,109
111,M. Pittman Jr.,PIT,WR,103
112,KC Concepcion,CLE,WR,111
113,K. Monangai,CHI,RB,94
114,B. Aubrey,DAL,K,135
115,Texans,HOU,DST,107
116,K. Gainwell,TB,RB,108
117,M. Lemon,PHI,WR,88
118,A. Jones Sr.,MIN,RB,116
119,M. Golden,GB,WR,120
120,M. Andrews,BAL,TE,122
121,Broncos,DEN,DST,121
122,Seahawks,SEA,DST,115
123,P. Mahomes I,IKC,QB,114
124,C. Rodriguez Jr.,JAC,RB,125
125,W. Robinson,TEN,WR,118
126,J. Goff,DET,QB,143
127,R. White,WAS,RB,123
128,M. Washington Jr.,LV,RB,137
