Rank,Name,Team,Position,ADP
1,Jahmyr Gibbs,DET,RB,1
2,Bijan Robinson,ATL,RB,2
3,Ja'Marr Chase,CIN,WR,3
4,Puka Nacua,LAR,WR,4
5,Christian McCaffrey,SF,RB,5
6,Jonathan Taylor,IND,RB,6
7,Amon-Ra St. Brown,DET,WR,8
8,James Cook III,BUF,RB,10
9,Jaxon Smith-Njigba,SEA,WR,7
10,CeeDee Lamb,DAL,WR,9
11,Saquon Barkley,PHI,RB,14
12,Justin Jefferson,MIN,WR,11
13,De'Von Achane,MIA,RB,12
14,Chase Brown,CIN,RB,16
15,Kenneth Walker II,IKC,RB,19
16,Omarion Hampton,LAC,RB,15
17,Derrick Henry,BAL,RB,20
18,Drake London,ATL,WR,17
19,A.J. Brown,NE,WR,18
20,Ashton Jeanty,LV,RB,13
21,Nico Collins,HOU,WR,25
22,Brock Bowers,LV,TE,23
23,Josh Allen,BUF,QB,21
24,George Pickens,DAL,WR,24
25,Kyren Williams,LAR,RB,29
26,Trey McBride,ARI,TE,22
27,Malik Nabers,NYG,WR,27
28,Chris Olave,NO,WR,30
29,Jeremiyah Love,ARI,RB,26
30,DeVonta Smith,PHI,WR,36
31,Rashee Rice,KC,WR,28
32,Javonte Williams,DAL,RB,34
33,Breece Hall,NYJ,RB,33
34,Tee Higgins,CIN,WR,35
35,Zay Flowers,BAL,WR,41
36,Ladd McConkey,LAC,WR,38
37,Jaylen Waddle,DEN,WR,46
38,Tetairoa McMillan,CAR,WR,37
39,Lamar Jackson,BAL,QB,32
40,Colston Loveland,CHI,TE,40
41,Travis Etienne Jr.,NO,RB,44
42,Garrett Wilson,NYJ,WR,45
43,Josh Jacobs,GB,RB,31
44,Cam Skattebo,NYG,RB,43
45,Emeka Egbuka,TB,WR,39
46,D'Andre Swift,CHI,RB,54
47,Bucky Irving,TB,RB,42
48,Tyler Warren,IND,TE,47
49,David Montgomery,HOU,RB,49
50,DJ Moore,BUF,WR,57
51,Terry McLaurin,WAS,WR,55
52,Davante Adams,LAR,WR,50
53,Drake Maye,NE,QB,48
54,Quinshon Judkins,CLE,RB,53
55,Luther Burden III,CHI,WR,52
56,Joe Burrow,CIN,QB,51
57,Bhayshul Tuten,JAC,RB,62
58,Jadarian Price,SEA,RB,67
59,Jameson Williams,DET,WR,58
60,Rome Odunze,CHI,WR,65
61,TreVeyon Henderson,NE,RB,56
62,Jalen Hurts,PHI,QB,60
63,Christian Watson,GB,WR,69
64,Parker Washington,JAC,WR,76
65,Mike Evans,SF,WR,61
66,Jayden Daniels,WAS,QB,64
67,Sam LaPorta,DET,TE,59
68,Tucker Kraft,GB,TE,63
69,Jaylen Warren,PIT,RB,72
70,Carnell Tate,TEN,WR,66
71,Marvin Harrison Jr.,ARI,WR,75
72,Harold Fannin Jr.,CLE,TE,68
73,Kyle Pitts Sr.,ATL,TE,70
74,Rhamondre Stevenson,NE,RB,81
75,Caleb Williams,CHI,QB,71
76,DK Metcalf,PIT,WR,74
77,Brian Thomas Jr.,JAC,WR,73
78,Tony Pollard,TEN,RB,84
79,Justin Herbert,LAC,QB,82
80,Dak Prescott,DAL,QB,78
81,George Kittle,SF,TE,89
82,Rico Dowdle,PIT,RB,85
83,Courtland Sutton,DEN,WR,80
84,Chris Godwin Jr.,TB,WR,95
85,Michael Wilson,ARI,WR,83
86,Jonathon Brooks,CAR,RB,106
87,J.K. Dobbins,DEN,RB,94
88,Chuba Hubbard,CAR,RB,77
89,RJ Harvey,DEN,RB,79
90,Alec Pierce,IND,WR,101
91,Trevor Lawrence,JAC,QB,100
92,Blake Corum,LAR,RB,103
93,Dalton Kincaid,BUF,TE,86
94,Stefon Diggs,WAS,WR,110
95,Travis Kelce,KC,TE,92
96,Michael Pittman Jr.,PIT,WR,102
97,Josh Downs,IND,WR,109
98,Jordan Mason,MIN,RB,115
99,Quentin Johnston,LAC,WR,113
100,Jordan Addison,MIN,WR,104
101,Jacory Croskey-Merritt,WAS,RB,114
102,Makai Lemon,PHI,WR,87
103,Jayden Reed,GB,WR,111
104,Jaxson Dart,NYG,QB,90
105,Kenny Gainwell,TB,RB,112
106,Kyle Monangai,CHI,RB,99
107,De'Zhaun Stribling,SF,WR,138
108,Brandon Aubrey,DAL,K,93
109,Matthew Stafford,LAR,QB,96
110,Isaiah Likely,NYG,TE,107
111,Houston Texans,HOU,DST,97
112,Los Angeles Rams,LAR,DST,88
113,Bo Nix,DEN,QB,120
114,KC Concepcion,CLE,WR,121
115,Dallas Goedert,PHI,TE,123
116,Wan'Dale Robinson,TEN,WR,116
117,Brock Purdy,SF,QB,122
118,Jake Ferguson,DAL,TE,98
119,Patrick Mahomes I,IKC,QB,108
120,Aaron Jones Sr.,MIN,RB,124
121,Matthew Golden,GB,WR,127
122,Rachaad White,WAS,RB,133
123,Seattle Seahawks,SEA,DST,105
124,Denver Broncos,DEN,DST,119
125,Mark Andrews,BAL,TE,128
126,Jakobi Meyers,JAC,WR,117
127,Jordyn Tyson,NO,WR,91
128,Romeo Doubs,NE,WR,132
129,Chris Rodriguez Jr.,JAC,RB,139
